Doc Fiscal;Quilometragem;Litros;Combustivel;Manutenção;Custos Motorista
774486;1380;431,2;2613,63;;130,06
774487;1272;343,7;2300,82;;107,83
774488;1054;234,2;1568,45;;100,65
774489;1392;515,5;2709,42;;162
774490;948;412,1;1377,9;;170,33
774491;1184;311,5;2657,42;;105,76
774492;1004;358,5;1394,44;;150,14
774493;1528;332,1;2936,62;;161,43
774494;1012;404,8;1383,06;;165,27
774495;1346;395,8;2157,05;;176,51
774496;1758;390,6;2817,3;;122,1
774497;1346;363,7;3365;;172,96
774498;1556;486,2;3039,06;;99,59
774499;1514;458,7;2426,28;;181,06
774500;1392;366,3;2008,45;;162,61
774501;1528;545,7;4547,61;;147,04
774502;1556;622,4;4099,72;;118,14
774503;1692;402,8;2278,56;;155,66
774504;1346;345,1;1812,61;;171,42
774505;948;296,2;2370;;119,21
774506;1528;727,6;2723,43;;141,54
774507;1170;307,8;3179,34;;178,27
774508;1818;534,7;3443,18;;152,03
774509;948;206;2051,74;;108,44
774510;1508;386,6;2416,66;;157,21
774511;948;296,2;1316,66;1324,12;203,73
774512;1246;276,8;1811,04;;118,44
774513;1488;330,6;2346,46;;121,04
774514;1246;498,4;1677,94;;175,04
774515;1528;477,5;2808,82;;183,48
774516;1170;307,8;1589,67;;121,03
774517;1128;537,1;3255,08;;120,06
774518;1346;345,1;3115,74;;118,41
774519;948;287,2;2194,44;;128,38
774520;1346;299,1;1839,53;;173,99
774521;1902;422,6;5660,71;;162,18
774522;2036;484,7;3742,64;;202,83
774523;1410;564;2513,11;;168,89
774524;1774;554,3;3359,84;560,17;174,06
774525;1184;422,8;2312,5;;111,35
774526;1184;257,3;2657,42;;188,24
774527;948;210,6;1559,21;;177,58
774528;1012;297,6;2017,67;;186,98
774529;1410;613;1857,52;;122,34
774530;1828;571,2;2538,88;;103,76
774531;1312;336,4;2373,17;;133,51
774532;1784;469,4;3378,78;;129,28
774533;1410;313,3;3263,88;;195,19
774534;1346;480,7;3115,74;;159,65
774535;1368;547,2;2514,7;;126,39
774536;1674;597,8;2274,45;;117,35
774537;1402;368,9;1947,22;;184,25
774538;1486;464,3;2030,86;;184,59
774539;1392;409,4;3222,22;;138,08
774540;1246;319,4;2796,57;;94,23
774541;1086;241,3;1475,54;;186,24
774542;970;230,9;1325,66;;153,82
774543;1764;410,2;2450;;139,67
774544;1828;677;3956,31;;112,62
774545;948;412,1;1288,04;;169,54
774546;1184;438,5;2176,47;;140,01
774547;948;379,2;1552,67;;105,33
774548;1902;679,2;5168,47;;180,5
774549;1538;341,7;2912,87;;185,63
774550;1488;330,6;3660,48;;196,81
774551;1364;401,1;3355,44;;166,61
774552;1576;375,2;3410,91;;132,71
774553;1014;266,8;1463,05;;166,24
